;X.102;X;pealkiri;url;rubriik;kuupaev;sisu;X.1;X.2;X.3;X.4;X.5;X.6;X.7;X.8;X.9;X.10;X.11;X.12;X.13;X.14;X.15;X.16;X.17;X.18;X.19;X.20;X.21;X.22;X.23;X.24;X.25;X.26;X.27;X.28;X.29;X.30;X.31;X.32;X.33;X.34;X.35;X.36;X.37;X.38;X.39;X.40;X.41;X.42;X.43;X.44;X.45;X.46;X.47;X.48;X.49;X.50;X.51;X.52;X.53;X.54;X.55;X.56;X.57;X.58;X.59;X.60;X.61;X.62;X.63;X.64;X.65;X.66;X.67;X.68;X.69;X.70;X.71;X.72;X.73;X.74;X.75;X.76;X.77;X.78;X.79;X.80;X.81;X.82;X.83;X.84;X.85;X.86;X.87;X.88;X.89;X.90;X.91;X.92;X.93;X.94;X.95;X.96;X.97;X.98;X.99;X.100;X.101
18741;18741;18739;Rahvusvahelise meedia sissevaated USA kriisi;https://www.postimees.ee/7150452/rahvusvahelise-meedia-sissevaated-usa-kriisi;Maailm;7.01.2021, 20:37 ;Täna keskendusid terve maailma autori-ja arvamusküljed USA kajastamisele. Muuhulgas on teemadena välja toodud lahendamata probleemide kuhjumist, Trumpi keerulist iseloomu ning režiimimuutust.Prantsuse ajalehe Le Figaro juhtkiri kritiseerib Trumpi väärikustPrantsuse vanimas lehes kirjutab Par Philippe Gélie Ameerika demokraatia senisest kultuurist. Ta toob esile, kuidas viimase 230 aasta jooksul on Ameerikas olnud tavapärane rahumeelne üleminekuperiood. Ajaloos on toimunud küll segasemaid ajajärke, kuid isegi Kennedy mõrva või Nixoni tagasiastumise järel ei ohustanud miski põhiseaduslikku korda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9568;9568;9567;PÄEVAKÄPP  Vaid 2-aastane hüljatud Säbru palub teist võimalust;https://www.postimees.ee/7191662/vaid-2-aastane-huljatud-sabru-palub-teist-voimalust;Päevakäpp;2.03.2021, 14:01 ;Kui igatsed enda perre ühte pisikest kasvu kaisukassi, siis on Säbru sulle loodud!Säbru on endine kodukass, kellest omanik loobus, kuna Säbru on aktiivse iseloomuga noor kass.Turvakodus on Säbru end näidanud ainult heast küljest – ta on väga paimaias, tahab alati olla abiks kõikides tegemistes ja toimetustes ning on alati valmis sind sõbraliku peamüksuga kostitama. Vabatahtlikud ei ole kuidagi aru saanud, et Säbru teistest kassidest millegi poolest halvem oleks. Vastupidi, Säbru on hoopis väga eriline kaisu- ja paimaias kassike.Säbru ootab endale päris oma kodu, mis oleks igavene. Sellist kodu, kus ei vaadata ainult tema kaunist kasukat, vaid nähakse ka tema hinge. Tema ootab kodu, kus oleks lahke pere, kes armastaks teda ka siis, kui mänguhoos mõni vaas kogemata maha aetakse või kui nooruki eas ennast käppadega mööda vaiba äärt edasi tõmmatakse. Ta soovib kodu, kus pärast pikka päeva õhtul voodisse kaissu võetakse, nendesse ilusatesse silmadesse vaadatakse ja öeldakse: Küll mul veab, et just sina minu perre jõudsid!… ja nii veel pikki pikki aastaid.Säbru saab kenasti läbi ka laste ja teiste kassidega, seega sobib ta kenasti koju, kus on rohkem sõpru ees ootamas.Kirjuta Säbrule aadressile info@kassideturvakodu.ee.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11309;11309;11308;AK  Filmifestival: linnad laotavad end kahemõõtmelisele linale;https://www.postimees.ee/7184180/filmifestival-linnad-laotavad-end-kahemootmelisele-linale;Arvamus/Kultuur;19.02.2021, 20:00 ;Kohe pärast Eesti sünnipäeva Tartu Elektriteatris algava festivali Linnad filmides kuraator Kadri Lind on urbanist. Aga mida see tähendab ja mis võlu on kolmemõõtmelistel linnadel, kui neid vaatab läbi objektiivi filmitegija ning jutustab neist lugusid tasapinnalisel meediumil?Teist korda toimub Tartu Elektriteatris filmifestival Linnad filmides ja kuraator Kadri Lind räägib, mis on urbanistika ning missuguseid filme ta festivalile valis. Filmiajakirjanik Jaak Lõhmus teeb ülevaate tähelepanuväääsematest Eesti filmidest, mis käsitlevad linna ja inimesi selle sees.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12859;12859;12858;Tallinlasi rõõmustas aurav laht;https://www.postimees.ee/7177199/tallinlasi-roomustas-aurav-laht;Eesti;11.02.2021, 00:01 ;Eestisse jõudnud käre talveilm tekitas eile Soome lahe kohale suure aurupilve. Nähtust põhjustab õhu- ja veetemperatuuride suur erinevus. Kuna pildistamise hetkel kell 11 oli õhutemperatuur Pirital –13 kraadi ning veetemperatuur plusspoolel, tekkiski nähtus, mida nimetatakse ka põlevaks mereks.Kui Tallinnas on meri alles jäässe minemas, siis Soome lahe idapoolsemas osas on veel juba jääkaas peal. Seetõttu on Sillamäe ja Kunda sadamat külastavatel laevadel tekkinud raskusi jääs sõitmisel ning transpordiamet saatis sinna alates teisipäevast appi jäämurdja Botnica.Transpordiameti pressiesindaja Madle Mereste teatel on neil põhimõtteline valmisolek jääd murda ka mujal Soomel lahel, kuid näiteks Tallinnas sadamasse suunduvate reisilaevade jääklass on selline, et lähiminevikus pole teenust kordagi vaja läinud. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27759;27759;27756;Kalev/Cramo Ühisliiga mäng lükati edasi;https://www.postimees.ee/7108082/kalev-cramo-uhisliiga-mang-lukati-edasi;VTB Ühisliiga;12.11.2020, 11:20 ;Kõik korvpallisõbrad kes ootasid pikisilmi esialgu sellele pühapäevale kavandatud Kalev/Cramo ja Minski Tsmoki VTB Ühisliiga kohtumist, peavad alla neelama mõru pilli.   Nimelt lükati kohtumine neli nädalat hilisemaks ning leiab nüüd aset alles 9. detsembril. Kalev/Cramo mänedžeri Ramo Kaski sõnul tuleneb muudatus korvpalli Meistrite liigast, kust Tsmoki tänavu osaleb. Tugevuselt kolmandas eurosarjaski on koroonaviirusest tingituna mängudegraafikut korduvalt ringi tehtud ning viimase muudatuse tulemusena mängitaks Meistrite liiga kolmanda vooru kohtumine 17. novembril. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19750;19750;19748;VÄLISMAA KOROONAPÄEVIK  Venemaa toetab vaktsiiniga Luganski mässulisi ja Hiina võitleb uue koroonatüvega;https://www.postimees.ee/7145243/venemaa-toetab-vaktsiiniga-luganski-massulisi-ja-hiina-voitleb-uue-koroonatuvega;Maailm;31.12.2020, 13:41 ;Luganski mässulised teatasid Venemaa abi saamisest vaktsiiniga varustamisel, Hiina võitleb uue Suurbritanniast leitud viirusetüvega ja USAs püstitati uus päevane koroonaviirusesse surnute rekord.Ukrainas isehakanud Luganski vabariigis oodatakse jaanuaris esimest Vene koroonaviiruse Covid-19 vaktsiini Sputnik V partiid, ütles Luganski sissivabariigi juht Leonid Passetšik.Pöördusime Venemaa poole palvega võimaldada meile Covid-19 vaktsiini ja meid võeti taas kord kuulda ja toetati. Esimest Sputnik V partiid oodatakse rahvavabariiki 2021. aasta jaanuaris, seisis Passtešniki tänases avalduses.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64443;64443;64101;Vastset Põhja meditsiinistaapi hakkab eriolukorras juhtima regionaalhaigla;https://www.postimees.ee/6938075/vastset-pohja-meditsiinistaapi-hakkab-eriolukorras-juhtima-regionaalhaigla;Tervis;31.03.2020, 13:54 ;Koroonakriisi tõttu korraldati terviseameti otsusega eelmisel nädalal ümber kogu Eesti haiglavõrgu töö ja moodustati kaks regionaalset meditsiinistaapi. Põhja meditsiinistaapi juhib regionaalhaigla juhatuse liige-ülemarst prof Peep Talving. Alates 25. märtsist on terviseameti kriisistaabi hädaolukorra meditsiinijuht regionaalhaigla kiirabikeskuse juhataja dr Arkadi Popov, kelle ülesanne on koordineerida hädaolukorra lahendamise ajal haiglate ravikorraldust üle kogu Eesti. Lihtsustatult öeldes otsustab kriisistaabi hädaolukorra meditsiinijuht, kas koroonapuhangu tõttu on vaja mõnda haiglasse saata lisajõud, kust need meditsiinitöötajad leitakse ning kes täpselt Eesti teisest otsast näiteks Saaremaa haiglale appi saadetakse.Oma esimesel tööpäeval moodustati meditsiinijuhi ühe esimese korraldusena kaks regionaalset staapi: Põhja meditsiinistaap Põhja-Eesti Regionaalhaigla juhtimisel ja Lõuna meditsiinistaap Tartu Ülikooli Kliinikumi juhtimisel.Põhja meditsiinistaapi juhib regionaalhaigla ülemarst prof Peep Talving, kelle asendajateks vajadusel on sama haigla juhatuse esimees Agris Peedu ja lastehaigla juhatuse esimees Katrin Luts.Prof Talvingu sõnul hakkas regionaalhaigla juba veebruari algul tegema ettevalmistusi võimalikeks stsenaariumiteks – kui haiglatesse jõuab mitusada kriitilises seisundis patsienti. Panime kokku operatiivstaabi regionaalhaigla töö korraldamiseks kõrgendatud nakkusriski ajal ja läksime üle kriisijuhtimisele, ütles prof Talving. Haigla operatiivstaabis on igal olulisel valdkonnal vastutaja ja meie senise kogemuse pealt oli lihtne kokku panna ka Põhja meditsiinistaap.Põhja meditsiinistaapi kuuluvad lisaks staabi juhile arstlike tegevuste juht, õendustegevuste juht, tugitegevuste juht, regiooni haiglate juht, erakorralise meditsiini tegevuste juht, intensiivravi tegevuste juht, infektsiooniekspert, meditsiinijuht ja Põhja kiirabistaabi esindaja. Põhja meditsiinistaabi ekspertide hulka kuuluvad kõigi piirkonna haiglate esindajad ja staabi liikmetel on ka asendusliikmed. Põhja meditsiinistaap alustas virtuaalkoosolekuga juba reedel ja regulaarsed virtuaalkohtumised on plaanitud kaks korda nädalas, ütles prof Talving.Dr Popovi ja prof Talvingu staapide koostöös kaardistatakse kogu meditsiinisüsteemi nõrgemad kohad - isikukaitsevahendite vajadus, kopsude ventilatsiooni võimalus, voodikohad, personal, Covid-19 haigete teekond haiglates, kuidas nad jõuavad statsionaarsele ravile, kuidas nad jõuavad erakorralisse meditsiini osakonda jne.Kriisiolukorras on selline juhtimisstiil ehk kõikide raviasutuste allutamine regionaalhaiglate juhtimise alla ainuõige lahendus, sest neil on piisav ekspertiis, vahendid ja personal. Samuti on nad praegu kõige valmistunumad nakatunud patsiente vastu võtma - nende jaoks on loodud spetsiaalsed osakonnad, haiglasse tulijaile välja töötatud eraldi teekonnad, vabastatud isolatsioonipalatid ning nii peaks see koroonaviiruse laialdase leviku korral toimuma igas haiglas, selgitas dr Popov. Me teame, et patsientide arv hakkab kasvama. Kui vaatame teiste riikide kogemust - Itaalia, Prantsusmaa, Inglismaa, mis liiguvad meist selle nakkuse levikuga natuke eespool, siis trend on sama. Meie plaan kriisijuhtimise ümberkorraldamisel ongi just see, et need suuremad haiglad, kus ettevalmistustööd on juba tehtud, saaksid olla abiks teistele, et samad ümberkorraldused oleksid maksimaalselt tõhusad.Just Saaremaale kui kõige enam viirusest haaratud regiooni tegi dr Popov eelmise nädala lõpus ka esimese kiirvisiidi, mille järel otsustas ta saarlastele appi saata nii esimesed lisajõud kui ka paluda abi kaitseväelt, kes toob Kuresaarde oma 20 intensiivravikohaga välihaigla.Meditsiinilises mõistes on meil praegu sõjaseisukord ja Eesti meditsiinipersonal peab olema valmis lahinguks, mille eeldatav tipp jõuab kätte nädala-pooleteise pärast, lausus Popov. Põhja meditsiinistaabi kaudu on koostöö piirkonna haiglate vahel keskselt  koordineeritud ja vajalikud otsused tehakse olukorra tervikpilti arvestades. Nii on ka Saaremaal ja Hiiumaal võimekus vajalikul viisil toetatud.Lõuna meditsiinistaapi juhivad Marek Seer ja prof Joel Starkopf.Infot Covid-19 haiguse kohta leiab nüüd ka regionaalhaigla uuest teemaveebist www.koroonakriis.ee, mis on abiks patsientidele, nende lähedastele ja kõikidele nendele inimestele, kes otsivad Covid-19 kohta tõenduspõhist infot usaldusväärsest allikast.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19116;19116;19114;Lasnamäe linnaosavanem: venekeelse elanikkonna seas on rohkem neid, kes kaugtööd teha ei saa;https://www.postimees.ee/7148491/lasnamae-linnaosavanem-venekeelse-elanikkonna-seas-on-rohkem-neid-kes-kaugtood-teha-ei-saa;Tallinn;5.01.2021, 22:16 ;Lasnamäe linnaosa eristub teistest Tallinna linnaosadest kõrgema nakatumisnäitaja poolest. Linnaosavanem Vladimir Svet nendib, et põhiprobleem seisneb neis, kes oma töö iseloomu tõttu ei saa endale lubada näiteks kaugtööd, või jääb vajaka koroonainfost. Linnaosavanema sõnul on Lasnamäe kõrgete nakatumisnäitajate põhiprobleemiks just sotsiaalmajanduslik taust. Need inimesed, kes on vähem jõukad ja töötavad sfäärides, kus on pole võimalust kaugtööd teha, siis nad ei saa endale tagada selliseid võimalusi, mida saavad teistes töökohtades inimesed, põhjendas Svet. Tema sõnul saab ka vaadata linnaosade jagunemist inimeste sissetulekute osas. Linn näeb, et Lasnamäel on väga palju inimesi, kellel ei ole hea elatustase. Vahe eesti ja vene keelt kõnelevate inimeste seas seisneb selles, et vene emakeelega inimeste seas on rohkem neid, kelle töö iseloom ei luba teha kaugtööd, ütles Svet. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41849;41849;41510;Juba möödunud nädalal koroonaviirusesse haigestunud tipptennisist andis taas positiivse COVID-19 proovi;https://www.postimees.ee/7045385/juba-moodunud-nadalal-koroonaviirusesse-haigestunud-tipptennisist-andis-taas-positiivse-covid-19-proovi;Tennis;23.08.2020, 17:53 ;Endise USA lahtiste meistrivõistluste finalist Kei Nishikori unistus järjekordsest suure slämmi turniirist hakkab kustuma, kuna jaapanlane andis juba teise positiivse koroonaproovi. 30-aastane Nishikori viibib hetkel treeninglaagris Floridas ning oli valmistumas USAs toimuvaks turneeks. Kui hooaja taasaasalustamise esimestest turniiridest tuli tal juba eelnevalt loobuda, siis nüüd hakkab üha enam kahtluse alla sattuma ka US Openil osalemine.Soovin kõiki teavitada, et tegin taaskord koroonatesti ning see oli endiselt positiivne. Mul on sisuliselt minimaalsed sümptomid ja viibin endiselt täielikus eneseisolatsioonis Floridas, kirjutas Nishikori ühismeedias. USA lahtiste alguseni on jäänud täpselt nädal ning seetõttu peab ta juba lähipäevil andma kaks negatiivset koroonaproovi. Vastasel juhul võib Nishikori hoopis Floridas tervenedes Euroopasse sõita.Järgmise testi teengi juba tuleva nädala alguses ning seejärel teavitan edasistest käikudest, tõdes Jaapani tipptennisist.Nishikoril, kes on Floridas harjutanud peagi kuu aega, oleks US Openil olnud väga head väljavaated. Tegemist on vaieldamatult tema parima suure slämmi turniiriga. Lisaks 2014. aasta finaalikohale on jaapanlane jõudnud kahel korral ka poolfinaali, seda 2016. ja 2018. aastal. Aasta teisele suurturniirile antakse avapauk juba 31. augustil ja seda hoolimata paljude tippmängijate loobumisest. Naiste konkurentsis jääb koguni kuus maailma edetabeli esikümne mängijat võistlustelt eemale. Lisaks üksikmängu tiitlikaitsjad nii meeste kui ka naiste seas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61449;61449;61107;EKRE seab uue ministri keerulisse olukorda;https://www.postimees.ee/6952218/ekre-seab-uue-ministri-keerulisse-olukorda;Poliitika;17.04.2020, 13:09 ;Eesti Konservatiivse Rahvaerakonna uuel väliskaubandus- ja infotehnoloogiaministril tuleb ametisse astuda otse kriisisündmuste keskelt ning mitte mingisugust ettevalmistusaega tal ei ole, sõnas Isamaa juht Helir-Valdor Seeder. Uuel ministril tuleb ametisse astuda otse kõige kuumemasse lahinguvälja astudes. Mingisugust ettevalmistusaega tal ei ole. Peab astuma kiirrongile peale hoo pealt. See on küll suur väljakutse ja keeruline olukord uuele ametisse astuvale ministrile, sõnas Seeder. Väliskaubandus- ja infotehnoloogiaministri portfell on üks kõige olulisemaid kriisimeetmete rakendamises: nii KredEx kui Ettevõtluse Arendamise Sihtasutus on seal valitsemisalas ja peaksid just nüüd nendel päevadel hakkama rakendama erinevaid abipakette.Järgmisel nädalal on valitsusel plaanis kinnitada ära eri meetmed, mis riigikogus lisaeelarvega vastu võeti. Kas Isamaa on EKRE otsuses pettunud? See nüüd küll ei too endaga kaasa mingisugust valitsuskriisi. See on ikkagi EKRE enda otsus ja tuleb EKRE enda sisestest suhetest. Valitsuse kui terviku tegevusele see kindlasti suuremat mõju ei avalda, välja arvatud see, et selle konkreetselt ministril ei ole mitte mingisugust ettevalmistusaega, et asuda sellele postile kõige kiiremal perioodil, selgitas Seeder. Uueks väliskaubandus- ja infotehnoloogiaministriks esitab EKRE siseminister Mart Helme nõuniku Raul Siemi. EKRE väliskaubandus- ja IT-minister Kaimar Karu teatas täna ühismeedias, et EKRE juht Mart Helme andis talle täna hommikul teada, et kutsub ta ministriametist tagasi, kuna koostöö ei suju ning erakond ei ole rahul. EKRE fraktsiooni toimekate liikme toetuse ning koostöövalmiduse valguses tekitab nii see väide kui ka eriolukorra kontekstis vastutustundetu otsus hämmingut, kuid loomulikult on erakonna esimehel õigus käituda oma tõekspidamiste ning parema äranägemise järgi, kommeteeris Karu. EKRE asejuhi Martin Helme sõnul ootavad erakonna valijad, liikmed ja juhid, et erakonna ministrid viiks ellu koalitsiooni ja erakonna poliitikat. Praegu kippus aga nii olema, et IT ja väliskaubandusministri portfell oli mitte EKRE vaid Ametnike Partei käes, lisas Helme.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65431;65431;65088;Kukub, ei kuku: nõmmekas loeb päevi, mil pirakas liikluspost Tallinna ristmikule prantsatab;https://www.postimees.ee/6932478/kukub-ei-kuku-nommekas-loeb-paevi-mil-pirakas-liikluspost-tallinna-ristmikule-prantsatab;Uudised;25.03.2020, 19:00 ;Tallinna ühes tihedama liiklusega kohas - Tammsaare tee ja Rahumäe tee ristmikul - hoiab liiklejaid hirmul liiklusmärke kandev post, mis on tee poole ohtlikult kaldu vajunud.Kas oleks võimalik teaduslikult välja arvutada, millal see post peaks järgi andma? Ma see päev siis sealtkaudu tööle ei sõidaks. Rahumäe tee vaatega Tammsaare tee ristmikule, kirjutas Jaanus Luuse Facebookis Nõmmekate grupis. Luuse rääkis Elu24-le, et võttis juba samal päeval, kui tegi viltusest liiklusmärgist pildi, ühendust ka Tallinna vastava ametkonnaga. Viltuvajumise täpset aega ei mäleta, aga post on minuteada nende siltidega seal viimasest Tammsaare ristmiku renoveerimisest, lisas ta.Tallinna transpordiameti juhataja asetäitja Talvo Rüütelmaa ütles Elu24-le, et liiklusmärgid ja postid peab korras hoidma AS Signaal TM. Vastavalt hankelepingule peab AS Singaal TM teostama pidevat seiret liiklusmärkide, nende postide, konsoolide, portaalide ja fooride osas ning rikked ja ohu koheselt kõrvaldama, sõnas ta. See Tammsaare tee ja Rahumäe tee ristmikul olev konsool vaadati kohe pärast kaebuse saamist üle ja tuvastati, et ohtu ei ole. Konsooli kinnituse painutas kaldesse tugev tuul, selgitas Rüütelmaa ja lisas, et selle taastamisega tegeleti sel teisipäeval.Kui konsool oleks olnud ohtlik, siis oleks tegutsetud viivitamatult, rääkis Rüütelmaa. Ta lisas, et transpordiamet tänab liiklejaid ning palub edaspidi katkistest või rikutud liikluskorraldusvahenditest anda teada telefonil 656 35 35.Jaanus Luuse lisas, et linn on enamasti taoliste probleemide korral inimesi kuulda võtnud. Viimane kord tegelesin samas piirkonnas tänavavalgustusega. Siis pöördusin Kristiine linnaosa valitsusse ja nemad omakorda samuti edastasid ja tulemus tuli vast mõne nädalaga, meenutas ta.See pole sugugi esimene kord, kui viltused tänavapostid linlastele hirmu nahka ajavad.2016. aasta veebruaris kukkus Tallinna südalinnas ümber kolm tänavaposti, mis kandsid trammide kontaktiine ja ka valgusteid.Tegemist oli õnneliku õnnetuse ja vedamisega, nii palju kui seda juhtumit vedamiseks nimetada saab. Keegi õnnetuses vigastada ei saanud ning nädalapäev ja kellaaeg olid ka sellised, et saame suuremaid liiklusprobleeme tekitamata need postid ära vahetada, rääkis toonane Tallinna abilinnapea Kalle Klandorf Postimehele.Politsei jagas Postimehele ka politseikaamera videot, kus on viivuks näha sähvatust ehk hetke, mil üks postidest pikali kukub.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49956;49956;49617;Jultunud puhkajad ajavad kohalikel kopsu üle maksa;https://www.postimees.ee/7006855/jultunud-puhkajad-ajavad-kohalikel-kopsu-ule-maksa;Eesti;30.06.2020, 00:01 ;Kaitsealal järvekaldal tünnisaunas möllanuid ajas taga keskkonnainspektsioon, propaankahurist paugutajaid politsei – jultunud puhkajad on kohalikele pinnuks silmas.Karula rahvuspargis Õdri järve ääres lõbutses joogine seltskond, kes oli keelumärgist läbi toonud tünnisauna (huvitav, kuhu reovesi läheb?), vali diskomuusika mängis üle metsa, sai keskkonnainspektsioon laupäeva õhtul kaebuse, mis saadeti ka Postimehele. Müstika: inimesed tulevad loodusesse selleks, et saada tasuta peoplats, rikkuda metsarahu ning kaaspuhkajate rahuelamus.Inspektorite saabudes oli seltskond tünnisauna autokärru upitanud ja edasi sõitnud. Sabast saadi neil kinni Lüllemäel. Keskkonnainspektsiooni avalike suhete juht Leili Tuul ütles, et tünnisaunalistele selgitati kaitsealal käitumise reegleid ning hoiatati edaspidiste rikkumiste eest.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4042;4042;4042;Spordi lühiuudised: Selveri lohutusmedal, vutikoondise koroonataak ja korvpalli EMi loos;https://www.postimees.ee/7216348/spordi-luhiuudised-selveri-lohutusmedal-vutikoondise-koroonataak-ja-korvpalli-emi-loos;Sport;3.04.2021, 00:05 ;Selver teenis pronksiTallinna Selver alistas Eesti meistrivõistluste pronksiseeria teises mängus Pärnu VK 3:0 (25:19, 25:23, 25:18) ning sai kaela lohutusmedalid. Medal on medal, midagi oma tehtud töö eest kaela saada on alati hea, sõnas Selveri juhendaja Rainer Vassiljev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31997;31997;31659;Magnus Kirt vahetab 11 aasta järel spordiklubi;https://www.postimees.ee/7090719/magnus-kirt-vahetab-11-aasta-jarel-spordiklubi;Kergejõustik;20.10.2020, 23:20 ;Alates 2009. aastast TTÜ spordiklubisse kuulunud Magnus Kirt alustab uue hooaja ettevalmistust Audentese spordiklubi nimekirjas. Kirdi sõnul olid muudatuse peamisteks põhjusteks tipptasemel treeningutingimused ja Audentese toetav süsteem.Kodulinnast Tõrvast 2009. aastal pealinna siirdunud Kirt asus ülikooli õppima ärindust ning liitus samal aastal ka TTÜ spordiklubiga. Viimastel aastatel oli Eesti odaviskerekordi omanik aga spordiklubi ainukene kergejõustiklane.Võrreldes minu eelmise koduklubiga on Audentes rohkem kergejõustikule suunatud ning siinne süsteem toetab ala harrastamist, selgitas Kirt. Audentese spordikeskuses olen treeninud juba pikalt, kuid spordiklubiga liitumine võimaldab mulle veelgi paremaid tingimusi tipptasemel treenimiseks: saan aastaringselt visata oda, joosta, ujuda ja akrobaatikat teha.Doha MMi hõbedamehe sõnul on Audentese spordiklubi uuendustele avatud ning käib ajaga kaasas, et pakkuda tasemel tingimusi ka kodumaal. Uueks hooajaks loodan siin teha väga hea ettevalmistuse ning soovin võistlusperioodil jälle konkurentsivõimeline olla, lisas ta.Audentese spordiklubis ootavad Eesti parimat kergejõustiklast ees Rio olümpia neljas mees Martin Kupper, Eesti rekordiomanikud Liina Laasma ja Karl Erik Nazarov ning paljud teised praegused Eesti tipud.Magnuse liitumine Audentese spordiklubiga on meie jaoks väga suur rõõm. Ta on aastaid Audentese spordikeskuses treeninud ja spordiklubiga liitumine on tore jätk meie koostööle. Soovime spordiklubina pakkuda parimaid treeningutingimusi nii lastele, noortele kui ka tipptasemel sportlastele. Kindlasti innustab tema eeskuju noori usinamalt treenima ja lisab väärtust meie klubile, lisas Audentese spordiklubi juhataja Peeter Tishler.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
